
Predictions were generated on 08-Sep-2020 at 15:27:37 using BeamDyn




Time	TipTDxr   	TipTDyr   	TipTDzr   
(s)	(m)	(m)	(m)
       0.380000	 1.051E-03	 5.639E-04	-1.890E-08
       0.382000	 1.059E-03	 5.658E-04	-1.916E-08
       0.384000	 1.067E-03	 5.677E-04	-1.943E-08
       0.386000	 1.075E-03	 5.695E-04	-1.970E-08
       0.388000	 1.083E-03	 5.713E-04	-1.997E-08
       0.390000	 1.091E-03	 5.730E-04	-2.024E-08
       0.392000	 1.099E-03	 5.746E-04	-2.051E-08
       0.394000	 1.107E-03	 5.761E-04	-2.078E-08
       0.396000	 1.115E-03	 5.776E-04	-2.106E-08
       0.398000	 1.123E-03	 5.790E-04	-2.134E-08
       0.400000	 1.131E-03	 5.803E-04	-2.162E-08
       0.402000	 1.139E-03	 5.816E-04	-2.190E-08
       0.404000	 1.147E-03	 5.827E-04	-2.219E-08
       0.406000	 1.155E-03	 5.838E-04	-2.247E-08
       0.408000	 1.164E-03	 5.848E-04	-2.276E-08
       0.410000	 1.172E-03	 5.857E-04	-2.304E-08
       0.412000	 1.180E-03	 5.865E-04	-2.333E-08
       0.414000	 1.188E-03	 5.872E-04	-2.362E-08
       0.416000	 1.196E-03	 5.878E-04	-2.391E-08
       0.418000	 1.204E-03	 5.883E-04	-2.420E-08
       0.420000	 1.212E-03	 5.888E-04	-2.450E-08
       0.422000	 1.220E-03	 5.891E-04	-2.479E-08
       0.424000	 1.228E-03	 5.894E-04	-2.508E-08
       0.426000	 1.236E-03	 5.896E-04	-2.538E-08
       0.428000	 1.244E-03	 5.897E-04	-2.567E-08
       0.430000	 1.252E-03	 5.897E-04	-2.597E-08
       0.432000	 1.260E-03	 5.896E-04	-2.626E-08
       0.434000	 1.268E-03	 5.894E-04	-2.656E-08
       0.436000	 1.276E-03	 5.892E-04	-2.685E-08
       0.438000	 1.284E-03	 5.889E-04	-2.715E-08
       0.440000	 1.292E-03	 5.885E-04	-2.744E-08
       0.442000	 1.300E-03	 5.880E-04	-2.774E-08
       0.444000	 1.308E-03	 5.875E-04	-2.803E-08
       0.446000	 1.316E-03	 5.869E-04	-2.833E-08
       0.448000	 1.323E-03	 5.863E-04	-2.862E-08
       0.450000	 1.331E-03	 5.856E-04	-2.892E-08
       0.452000	 1.339E-03	 5.848E-04	-2.921E-08
       0.454000	 1.347E-03	 5.840E-04	-2.951E-08
       0.456000	 1.354E-03	 5.831E-04	-2.980E-08
       0.458000	 1.362E-03	 5.821E-04	-3.009E-08
       0.460000	 1.369E-03	 5.812E-04	-3.038E-08
       0.462000	 1.377E-03	 5.801E-04	-3.067E-08
       0.464000	 1.384E-03	 5.790E-04	-3.096E-08
       0.466000	 1.391E-03	 5.779E-04	-3.124E-08
       0.468000	 1.399E-03	 5.768E-04	-3.153E-08
       0.470000	 1.406E-03	 5.755E-04	-3.181E-08
       0.472000	 1.413E-03	 5.743E-04	-3.210E-08
       0.474000	 1.420E-03	 5.730E-04	-3.238E-08
       0.476000	 1.427E-03	 5.717E-04	-3.266E-08
