
Predictions were generated on 11-Sep-2021 at 11:53:05 using BeamDyn




Time	TipTDxr   	TipTDyr   	TipTDzr   
(s)	(m)	(m)	(m)
       0.690000	 8.813E+00	 3.189E+00	-1.278E+00
       0.692000	 8.801E+00	 3.137E+00	-1.268E+00
       0.694000	 8.788E+00	 3.085E+00	-1.259E+00
       0.696000	 8.775E+00	 3.034E+00	-1.249E+00
       0.698000	 8.762E+00	 2.982E+00	-1.239E+00
       0.700000	 8.748E+00	 2.931E+00	-1.229E+00
       0.702000	 8.734E+00	 2.880E+00	-1.219E+00
       0.704000	 8.719E+00	 2.830E+00	-1.210E+00
       0.706000	 8.703E+00	 2.779E+00	-1.200E+00
       0.708000	 8.688E+00	 2.729E+00	-1.190E+00
       0.710000	 8.671E+00	 2.679E+00	-1.180E+00
       0.712000	 8.655E+00	 2.629E+00	-1.170E+00
       0.714000	 8.638E+00	 2.580E+00	-1.160E+00
       0.716000	 8.621E+00	 2.531E+00	-1.150E+00
       0.718000	 8.603E+00	 2.482E+00	-1.141E+00
       0.720000	 8.585E+00	 2.433E+00	-1.131E+00
       0.722000	 8.567E+00	 2.385E+00	-1.121E+00
       0.724000	 8.548E+00	 2.337E+00	-1.111E+00
       0.726000	 8.529E+00	 2.290E+00	-1.102E+00
       0.728000	 8.510E+00	 2.243E+00	-1.092E+00
       0.730000	 8.490E+00	 2.196E+00	-1.083E+00
       0.732000	 8.471E+00	 2.149E+00	-1.073E+00
       0.734000	 8.451E+00	 2.103E+00	-1.064E+00
       0.736000	 8.430E+00	 2.057E+00	-1.054E+00
       0.738000	 8.410E+00	 2.011E+00	-1.045E+00
       0.740000	 8.389E+00	 1.965E+00	-1.036E+00
       0.742000	 8.369E+00	 1.920E+00	-1.027E+00
       0.744000	 8.348E+00	 1.876E+00	-1.018E+00
       0.746000	 8.327E+00	 1.831E+00	-1.009E+00
       0.748000	 8.305E+00	 1.787E+00	-9.997E-01
       0.750000	 8.284E+00	 1.743E+00	-9.909E-01
       0.752000	 8.263E+00	 1.699E+00	-9.822E-01
       0.754000	 8.241E+00	 1.656E+00	-9.736E-01
       0.756000	 8.219E+00	 1.613E+00	-9.650E-01
       0.758000	 8.198E+00	 1.570E+00	-9.566E-01
       0.760000	 8.176E+00	 1.528E+00	-9.483E-01
       0.762000	 8.154E+00	 1.486E+00	-9.401E-01
       0.764000	 8.132E+00	 1.444E+00	-9.320E-01
       0.766000	 8.110E+00	 1.403E+00	-9.240E-01
       0.768000	 8.088E+00	 1.362E+00	-9.161E-01
       0.770000	 8.066E+00	 1.322E+00	-9.083E-01
       0.772000	 8.044E+00	 1.281E+00	-9.006E-01
       0.774000	 8.022E+00	 1.241E+00	-8.930E-01
       0.776000	 8.000E+00	 1.202E+00	-8.856E-01
       0.778000	 7.978E+00	 1.163E+00	-8.782E-01
       0.780000	 7.956E+00	 1.124E+00	-8.710E-01
       0.782000	 7.934E+00	 1.086E+00	-8.639E-01
       0.784000	 7.912E+00	 1.048E+00	-8.568E-01
       0.786000	 7.890E+00	 1.011E+00	-8.499E-01
       0.788000	 7.868E+00	 9.744E-01	-8.431E-01
       0.790000	 7.846E+00	 9.381E-01	-8.364E-01
       0.792000	 7.824E+00	 9.023E-01	-8.298E-01
       0.794000	 7.802E+00	 8.671E-01	-8.233E-01
       0.796000	 7.780E+00	 8.324E-01	-8.169E-01
       0.798000	 7.758E+00	 7.982E-01	-8.106E-01
       0.800000	 7.736E+00	 7.646E-01	-8.044E-01
       0.802000	 7.714E+00	 7.316E-01	-7.983E-01
       0.804000	 7.692E+00	 6.992E-01	-7.923E-01
       0.806000	 7.670E+00	 6.674E-01	-7.863E-01
